fips,month,successes,trials,comm_mask_prop_most
1127,2020-12-01,78,182,0.42857142857142855
1127,2021-01-01,93,160,0.58125
1127,2021-02-01,53,140,0.37857142857142856
1127,2021-03-01,78,126,0.6190476190476191
1127,2021-04-01,57,107,0.5327102803738317
1127,2021-05-01,2,61,0.03278688524590164
1129,2020-11-01,2,11,0.18181818181818182
1129,2020-12-01,12,39,0.3076923076923077
1129,2021-01-01,16,37,0.43243243243243246
1129,2021-02-01,13,43,0.3023255813953488
1129,2021-03-01,25,37,0.6756756756756757
1129,2021-04-01,5,23,0.21739130434782608
1129,2021-05-01,2,17,0.11764705882352941
1131,2020-11-01,2,2,1
1131,2020-12-01,18,24,0.75
1131,2021-01-01,15,17,0.8823529411764706
1131,2021-02-01,9,20,0.45
1131,2021-03-01,12,15,0.8
1131,2021-04-01,14,19,0.7368421052631579
1131,2021-05-01,0,1,0
1133,2020-11-01,5,8,0.625
1133,2020-12-01,22,51,0.43137254901960786
1133,2021-01-01,22,63,0.3492063492063492
1133,2021-02-01,23,45,0.5111111111111111
1133,2021-03-01,36,52,0.6923076923076923
1133,2021-04-01,7,34,0.20588235294117646
1133,2021-05-01,2,20,0.1
2013,2021-01-01,2,2,1
2013,2021-02-01,5,5,1
2013,2021-04-01,2,3,0.6666666666666666
2016,2020-11-01,1,1,1
2016,2020-12-01,8,9,0.8888888888888888
2016,2021-01-01,10,11,0.9090909090909091
2016,2021-02-01,9,10,0.9
2016,2021-03-01,8,8,1
2016,2021-04-01,6,6,1
2016,2021-05-01,4,6,0.6666666666666666
2020,2020-11-01,269,315,0.8539682539682539
2020,2020-12-01,1305,1540,0.8474025974025974
2020,2021-01-01,1331,1542,0.8631647211413749
2020,2021-02-01,1061,1214,0.8739703459637562
2020,2021-03-01,1106,1304,0.848159509202454
2020,2021-04-01,868,1036,0.8378378378378378
2020,2021-05-01,420,666,0.6306306306306306
2050,2020-11-01,9,9,1
2050,2020-12-01,41,49,0.8367346938775511
2050,2021-01-01,50,55,0.9090909090909091
2050,2021-02-01,37,48,0.7708333333333334
2050,2021-03-01,34,36,0.9444444444444444
2050,2021-04-01,33,37,0.8918918918918919
2050,2021-05-01,20,22,0.9090909090909091
2060,2020-12-01,5,5,1
2060,2021-02-01,2,5,0.4
2060,2021-03-01,2,6,0.3333333333333333
2060,2021-04-01,7,10,0.7
2068,2020-11-01,0,2,0
2068,2020-12-01,5,6,0.8333333333333334
2068,2021-01-01,6,11,0.5454545454545454
2068,2021-02-01,3,5,0.6
2068,2021-03-01,9,14,0.6428571428571429
2068,2021-04-01,3,8,0.375
2068,2021-05-01,1,6,0.16666666666666666
2070,2020-11-01,4,4,1
2070,2020-12-01,15,15,1
2070,2021-01-01,13,14,0.9285714285714286
2070,2021-02-01,17,17,1
2070,2021-03-01,8,8,1
2070,2021-04-01,0,5,0
2070,2021-05-01,3,6,0.5
2090,2020-11-01,47,84,0.5595238095238095
2090,2020-12-01,267,402,0.664179104477612
2090,2021-01-01,287,432,0.6643518518518519
2090,2021-02-01,273,383,0.7127937336814621
2090,2021-03-01,261,385,0.6779220779220779
2090,2021-04-01,208,342,0.6081871345029239
2090,2021-05-01,101,262,0.38549618320610685
2100,2020-11-01,0,3,0
2100,2020-12-01,6,10,0.6
2100,2021-01-01,3,10,0.3
2100,2021-02-01,4,16,0.25
2100,2021-03-01,10,21,0.47619047619047616
2100,2021-04-01,4,10,0.4
2100,2021-05-01,3,3,1
2105,2020-11-01,1,1,1
2105,2020-12-01,10,10,1
2105,2021-01-01,12,14,0.8571428571428571
2105,2021-02-01,3,11,0.2727272727272727
2105,2021-03-01,4,10,0.4
2105,2021-04-01,3,8,0.375
2105,2021-05-01,1,4,0.25
2110,2020-11-01,38,40,0.95
2110,2020-12-01,178,196,0.9081632653061225
2110,2021-01-01,188,208,0.9038461538461539
2110,2021-02-01,171,181,0.9447513812154696
2110,2021-03-01,155,166,0.9337349397590361
2110,2021-04-01,132,162,0.8148148148148148
2110,2021-05-01,69,102,0.6764705882352942
2122,2020-11-01,19,47,0.40425531914893614
2122,2020-12-01,165,317,0.5205047318611987
2122,2021-01-01,138,298,0.46308724832214765
2122,2021-02-01,96,231,0.4155844155844156
2122,2021-03-01,102,277,0.36823104693140796
2122,2021-04-01,78,235,0.33191489361702126
2122,2021-05-01,36,131,0.2748091603053435
2130,2020-11-01,8,12,0.6666666666666666
2130,2020-12-01,47,74,0.6351351351351351
2130,2021-01-01,39,72,0.5416666666666666
2130,2021-02-01,50,79,0.6329113924050633
2130,2021-03-01,61,83,0.7349397590361446
2130,2021-04-01,31,57,0.543859649122807
2130,2021-05-01,11,38,0.2894736842105263
2150,2020-11-01,8,12,0.6666666666666666
2150,2020-12-01,60,68,0.8823529411764706
2150,2021-01-01,48,55,0.8727272727272727
2150,2021-02-01,47,49,0.9591836734693877
2150,2021-03-01,37,47,0.7872340425531915
2150,2021-04-01,35,38,0.9210526315789473
2150,2021-05-01,13,26,0.5
2158,2020-11-01,5,5,1
2158,2020-12-01,10,14,0.7142857142857143
2158,2021-01-01,6,13,0.46153846153846156
2158,2021-02-01,15,15,1
2158,2021-03-01,11,11,1
2158,2021-04-01,8,8,1
2158,2021-05-01,6,6,1
2164,2020-12-01,2,3,0.6666666666666666
2164,2021-01-01,1,3,0.3333333333333333
2164,2021-02-01,4,4,1
2164,2021-03-01,4,4,1
2164,2021-04-01,4,5,0.8
2170,2020-11-01,39,81,0.48148148148148145
2170,2020-12-01,151,416,0.3629807692307692
2170,2021-01-01,165,425,0.38823529411764707
2170,2021-02-01,117,304,0.3848684210526316
2170,2021-03-01,96,349,0.27507163323782235
2170,2021-04-01,72,280,0.2571428571428571
2170,2021-05-01,30,178,0.16853932584269662
2180,2020-11-01,7,7,1
2180,2020-12-01,24,27,0.8888888888888888
2180,2021-01-01,26,33,0.7878787878787878
2180,2021-02-01,18,20,0.9
2180,2021-03-01,28,34,0.8235294117647058
2180,2021-04-01,19,22,0.8636363636363636
2180,2021-05-01,5,11,0.45454545454545453
2185,2020-11-01,8,8,1
2185,2020-12-01,17,22,0.7727272727272727
2185,2021-01-01,23,23,1
2185,2021-02-01,22,22,1
2185,2021-03-01,19,22,0.8636363636363636
2185,2021-04-01,7,7,1
2185,2021-05-01,10,14,0.7142857142857143
2188,2020-11-01,4,4,1
2188,2020-12-01,15,20,0.75
2188,2021-01-01,18,25,0.72
2188,2021-02-01,15,22,0.6818181818181818
2188,2021-03-01,17,20,0.85
2188,2021-04-01,9,14,0.6428571428571429
2188,2021-05-01,8,12,0.6666666666666666
2195,2020-11-01,4,5,0.8
2195,2020-12-01,6,14,0.42857142857142855
2195,2021-01-01,7,25,0.28
2195,2021-02-01,13,26,0.5
2195,2021-03-01,16,24,0.6666666666666666
2195,2021-04-01,12,16,0.75
2195,2021-05-01,5,5,1
2198,2020-11-01,5,5,1
2198,2020-12-01,18,29,0.6206896551724138
2198,2021-01-01,14,28,0.5
2198,2021-02-01,17,20,0.85
2198,2021-03-01,23,25,0.92
2198,2021-04-01,15,17,0.8823529411764706
2198,2021-05-01,11,16,0.6875
2220,2020-11-01,4,10,0.4
2220,2020-12-01,37,47,0.7872340425531915
2220,2021-01-01,55,61,0.9016393442622951
2220,2021-02-01,47,64,0.734375
2220,2021-03-01,14,34,0.4117647058823529
2220,2021-04-01,27,36,0.75
2220,2021-05-01,10,17,0.5882352941176471
2230,2020-11-01,4,4,1
2230,2020-12-01,8,8,1
2230,2021-01-01,8,8,1
2230,2021-02-01,8,13,0.6153846153846154
2230,2021-03-01,3,3,1
2230,2021-04-01,12,12,1
2230,2021-05-01,0,3,0
2240,2020-11-01,5,9,0.5555555555555556
2240,2020-12-01,1,28,0.03571428571428571
2240,2021-01-01,10,27,0.37037037037037035
2240,2021-02-01,0,16,0
2240,2021-03-01,3,21,0.14285714285714285
2240,2021-04-01,5,21,0.23809523809523808
2240,2021-05-01,3,15,0.2
2261,2020-11-01,3,7,0.42857142857142855
2261,2020-12-01,22,46,0.4782608695652174
2261,2021-01-01,25,32,0.78125
2261,2021-02-01,28,36,0.7777777777777778
2261,2021-03-01,25,37,0.6756756756756757
2261,2021-04-01,8,24,0.3333333333333333
2261,2021-05-01,5,21,0.23809523809523808
