"fips","month","mask_grocery_very_prop","mask_grocery_some_prop","mask_grocery_very_suc","mask_grocery_some_suc","total_obs","mask_grocery_some_only_prop","mask_grocery_notso_only_prop","mask_grocery_notatall_only_prop"
1037,2020-07-01,0.525705736316852,0.569636486197654,3,3,3,0.0439307498808016,0,0.00476793318317083
1037,2020-08-01,0.591725169754861,0.868454367591205,3,4,4,0.276729197836344,0.00166877661410979,0.00166877661410979
1037,2020-09-01,0.633041776959372,0.634307745425248,3,3,4,0.00126596846587639,0.074634595465531,0
1037,2020-10-01,0.147466144934207,0.148732113400084,0,0,0,0.00126596846587639,0.0563547780718913,0
1037,2020-11-01,0.200483369777879,0.201749338243755,1,1,1,0.00126596846587639,0,0.00333755322821958
1037,2020-12-01,0.429508574059154,0.550437334560938,2,3,4,0.120928760501784,0,0.102572217746576
1037,2021-01-01,0.559040165726779,0.559673149959717,2,2,2,0.000632984232938195,0,0
1037,2021-02-01,0.453389342847277,0.46242375417194,2,3,3,0.00903441132466335,0,0.180918402577972
1037,2021-03-01,0.434388307054896,0.468201173898031,2,2,2,0.0338128668431348,0.124272068132121,0
1037,2021-04-01,0.439377373690872,0.559471745885601,2,3,4,0.120094372194729,0.146852342041661,0.0338071124410173
1037,2021-05-01,0.123679364714006,0.37357003107377,0,1,1,0.249890666359765,0.00417194153527448,0.0338128668431348
1037,2021-06-01,0.275213871945371,0.444354931522614,0,2,2,0.169141059577243,0,0
1039,2020-06-01,0.169544140711073,0.489426579046284,4,9,11,0.319882438335212,0,0.213377013907791
1039,2020-07-01,0.258875452035618,0.526752731656102,4,7,9,0.267877279620484,0.0745810164482637,0.0593576233619783
1039,2020-08-01,0.883656725123457,0.935140179647702,6,7,8,0.0514834545242445,0,0.0514834545242445
1039,2020-09-01,0.653594898316287,0.661799587821284,5,6,8,0.00820468950499669,0,0.164852043395419
1039,2020-10-01,0.465995256056304,0.465995256056304,2,2,2,0,0,0
1039,2020-11-01,0.585138235408483,0.65030913403585,6,6,6,0.0651708986273671,0,0
1039,2020-12-01,0.569101502248835,0.569101502248835,7,7,11,0,0.16156951951368,0.191015022488366
1039,2021-01-01,0.774594626122796,0.774594626122796,7,7,9,0,0.0824260216977095,0.102966909048489
1039,2021-02-01,0.339548418037355,0.906158053686923,7,12,15,0.566609635649569,0,0.0807377739757099
1039,2021-03-01,0.696770896405378,0.771985179342179,11,12,16,0.075214282936801,0.0942011676545251,0.121681600275526
1039,2021-04-01,0.734199167865613,0.734225091055202,10,10,15,2.5923189589247e-05,0.0474860986895826,0.204873559642778
1039,2021-05-01,0.40985858900079,0.568145584632732,2,4,5,0.158286995631942,0.102966909048489,0
1039,2021-06-01,0.329704086790838,0.329704086790838,1,1,2,0,0.00381070886961931,0.237508263016681
1041,2020-06-01,0.574550970455406,0.633433309201226,2,3,3,0.0588823387458199,0.0490226497052435,0.0697417864653359
1041,2020-07-01,0.434558899575964,0.645283896990381,2,3,3,0.210724997414417,0,0.000180990795325266
1041,2020-08-01,0.261971248319371,0.337263419174681,3,4,4,0.0752921708553105,0,0
1041,2020-09-01,0.307994621987795,0.307994621987795,2,2,2,0,0,0
1041,2020-10-01,0.483297135174268,0.483297135174268,4,4,4,0,0,0
1041,2020-11-01,0.494156582893784,0.519598717550935,1,2,2,0.0254421346571517,0,0
1041,2020-12-01,0.642810356120935,0.643741165925465,2,2,2,0.00093080980452994,0.000241321060433688,0.000241321060433688
1041,2021-01-01,0.423621884372737,0.636777329610093,3,4,4,0.213155445237356,0,0
1041,2021-02-01,0.25616402937222,0.256903506050263,3,3,3,0.00073947667804323,0,0
1041,2021-03-01,0.576171269004033,0.645464887785706,2,2,2,0.0692936187816733,0,0
1041,2021-04-01,0.475071534457199,0.756003723239217,3,5,5,0.280932188782018,0.000144792636260213,0.000289585272520426
1041,2021-05-01,0.623780466783879,0.625193918709276,2,2,2,0.00141345192539732,0,0
